ticker,name,phone_number,address,city,state,postal_code,homepage_url,sic_description,description
AAPL,Apple Inc.,408-996-1010,ONE APPLE PARK WAY,CUPERTINO,CA,95014,https://www.apple.com,ELECTRONIC COMPUTERS,"Apple designs a wide variety of consumer electronic devices, including smartphones (iPhone), tablets (iPad), PCs (Mac), smartwatches (Apple Watch), AirPods, and TV boxes (Apple TV), among others. The iPhone makes up the majority of Apple's total revenue. In addition, Apple offers its customers a variety of services such as Apple Music, iCloud, Apple Care, Apple TV+, Apple Arcade, Apple Card, and Apple Pay, among others. Apple's products run internally developed software and semiconductors, and the firm is well known for its integration of hardware, software and services. Apple's products are distributed online as well as through company-owned stores and third-party retailers. The company generates roughly 40% of its revenue from the Americas, with the remainder earned internationally."
TSLA,"Tesla, Inc.",650-681-5000,3500 DEER CREEK RD,PALO ALTO,CA,94304,https://www.tesla.com,MOTOR VEHICLES & PASSENGER CAR BODIES,"Founded in 2003 and based in Palo Alto, California, Tesla is a vertically integrated sustainable energy company that also aims to transition the world to electric mobility by making electric vehicles. The company sells solar panels and solar roofs for energy generation plus batteries for stationary storage for residential and commercial properties including utilities. Tesla has multiple vehicles in its fleet, which include luxury and midsize sedans and crossover SUVs. The company also plans to begin selling more affordable sedans and small SUVs, a light truck, a semi truck, and a sports car. Global deliveries in 2020 were roughly 500,000 units."
NVDA,Nvidia Corp,408-486-2000,2788 SAN TOMAS EXPRESSWAY,SANTA CLARA,CA,95051,https://www.nvidia.com,SEMICONDUCTORS & RELATED DEVICES,"Nvidia is the top designer of discrete graphics processing units that enhance the experience on computing platforms. The firm's chips are used in a variety of end markets, including high-end PCs for gaming, data centers, and automotive infotainment systems. In recent years, the firm has broadened its focus from traditional PC graphics applications such as gaming to more complex and favorable opportunities, including artificial intelligence and autonomous driving, which leverage the high-performance capabilities of the firm's graphics processing units."
JPM,JPMorgan Chase & Co.,212-270-6000,383 MADISON AVENUE,NEW YORK,NY,10017,https://www.jpmorganchase.com,NATIONAL COMMERCIAL BANKS,"JPMorgan Chase is one of the largest and most complex financial institutions in the United States, with more than $3 trillion in assets. It is organized into four major segments--consumer and community banking, corporate and investment banking, commercial banking, and asset and wealth management. JPMorgan operates, and is subject to regulation, in multiple countries."
BAC,Bank of America Corporation,704-386-8486,100 N TRYON ST,CHARLOTTE,NC,28255,https://www.bankofamerica.com,NATIONAL COMMERCIAL BANKS,"Bank of America is one of the largest financial institutions in the United States, with more than $2.5 trillion in assets. It is organized into four major segments: consumer banking, global wealth and investment management, global banking, and global markets. Bank of America's consumer-facing lines of business include its network of branches and deposit-gathering operations, home mortgage lending, vehicle lending, credit and debit cards, and small-business services. The company's Merrill Lynch operations provide brokerage and wealth-management services, as does U.S. Trust private bank. Wholesale lines of business include investment banking, corporate and commercial real estate lending, and capital markets operations. Bank of America has operations in several countries."
NBR,Nabors Industries Ltd.,441-292-1510,4 PAR-LA-VILLE ROAD,"HAMILTON, HM08",D0,0,https://www.nabors.com,DRILLING OIL & GAS WELLS,"Nabors is one of the world's largest land rig drilling contractors. The company has more than 500 land rigs, more than 600 land workover rigs, and numerous offshore rigs that drill for oil and natural gas globally. The company derives about 75% of its revenue from North America. In addition, Nabors provides well servicing, engineering, transportation, and other services for oil and gas producers."
GOOG,Alphabet Inc.,650-253-0000,1600 AMPHITHEATRE PARKWAY,MOUNTAIN VIEW,CA,94043,https://www.abc.xyz,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","Alphabet is a holding company, with Google, the Internet media giant, as a wholly owned subsidiary. Google generates 99% of Alphabet revenue, of which more than 85% is from online ads. Google's other revenue is from sales of apps and content on Google Play and YouTube, as well as cloud service fees and other licensing revenue. Sales of hardware such as Chromebooks, the Pixel smartphone, and smart homes products, which include Nest and Google Home, also contribute to other revenue. Alphabet's moonshot investments are in its other bets segment, where it bets on technology to enhance health (Verily), faster Internet access to homes (Google Fiber), self-driving cars (Waymo), and more. Alphabet's operating margin has been 25%-30%, with Google at 30% and other bets operating at a loss."
AXP,American Express Company,212-640-2000,200 VESEY STREET,NEW YORK,NY,10285,https://www.americanexpress.com,FINANCE SERVICES,"American Express is a global financial institution, operating in about 130 countries, that provides consumers and businesses charge and credit card payment products. The company also operates a highly profitable merchant payment network. Since 2018, the company has operated in three segments: global consumer services, global commercial services, and global merchant and network services. In addition to payment products, the company's commercial business offers expense management tools, consulting services, and business loans."
COF,Capital One Financial,703-720-1000,1680 CAPITAL ONE DRIVE,MCLEAN,VA,22102,https://www.capitalone.com,NATIONAL COMMERCIAL BANKS,"Capital One is a diversified financial services holding company headquartered in McLean, Virginia. Originally a spin-off of Signet Financial's credit card division in 1994, the company is now primarily involved in credit card lending, auto loans, and commercial lending."
WFC,Wells Fargo & Co.,612-667-1234,420 MONTGOMERY STREET,SAN FRANCISCO,CA,94163,http://www.wellsfargo.com,NATIONAL COMMERCIAL BANKS,"Wells Fargo is one of the largest banks in the United States, with approximately $1.9 trillion in balance sheet assets. The company is split into four primary segments: consumer banking, commercial banking, corporate and investment banking, and wealth and investment management. It is almost entirely focused on the U.S."
